nome,idade,sexo,cpf,escolaridade,data_nasc,mulher_graduada
Brenda Alves,32.0,Outro,123.456.789-00,Ensino Médio,32/13/2000,não
Emanuel Sampaio,22.0,M,123.456.789-00,Ensino Médio,1946-07-21,não
Raul Ferreira,33.0,F,438.051.792-60,Graduação,1942-11-02,sim
Raquel Alves,37.0,Outro,123.456.789-00,Ensino Fundamental,1987-01-06,não
Nicolas Mendonça,31.0,Outro,837.569.402-92,Ensino Fundamental,32/13/2000,não
Igor da Paz,37.0,F,123.456.789-00,Mestrado,1963-12-27,não
Anthony Martins,36.0,M,123.456.789-00,Mestrado,1967-06-06,não
Oliver Aragão,55.0,Outro,123.456.789-00,Graduação,1976-10-05,não
Sra. Anna Liz Lopes,38.0,F,924.805.631-89,Ensino Médio,1975-02-07,não
Larissa Vasconcelos,61.0,Outro,123.456.789-00,Ensino Fundamental,1973-08-12,não
Dra. Stephany Machado,20.0,F,628.901.473-04,Ensino Fundamental,1944-04-15,não
Josué Gomes,23.0,F,123.456.789-00,Mestrado,32/13/2000,não
Allana Moreira,40.0,M,123.456.789-00,Ensino Médio,32/13/2000,não
Sra. Aylla Marques,67.0,F,123.456.789-00,Graduação,1958-05-06,sim
Marcos Vinicius Vasconcelos,66.0,F,207.865.143-53,Doutorado,1990-01-14,não
Raul Oliveira,53.0,Outro,907.316.542-34,Doutorado,32/13/2000,não
Fernando Cavalcanti,65.0,Outro,293.068.174-87,Doutorado,1983-09-14,não
Nicole Câmara,87.0,F,092.763.851-77,Mestrado,1990-03-01,não
Vitor Gabriel Abreu,23.0,Outro,123.456.789-00,Ensino Fundamental,32/13/2000,não
Maysa Moreira,31.0,M,192.364.075-52,Ensino Fundamental,32/13/2000,não
Ayla Silva,38.0,F,123.456.789-00,Graduação,1980-08-29,sim
Maria Sophia Brito,40.0,F,123.456.789-00,Ensino Médio,1957-10-29,não
Sra. Melina Teixeira,40.0,F,871.952.403-04,Ensino Médio,1960-11-13,não
Davi Luiz Ramos,65.0,Outro,123.456.789-00,Ensino Fundamental,1986-11-06,não
Isaac Sousa,36.0,M,123.456.789-00,Graduação,32/13/2000,não
Elisa Oliveira,57.0,Outro,123.456.789-00,Mestrado,32/13/2000,não
Dra. Emanuella Rezende,88.0,Outro,617.953.248-64,Graduação,1983-05-20,não
Gael Henrique Mendes,20.0,M,123.456.789-00,Doutorado,32/13/2000,não
Vitor Hugo Sousa,29.0,Outro,123.456.789-00,Graduação,1978-07-17,não
Ravy Souza,79.0,Outro,284.369.570-83,Mestrado,32/13/2000,não
Hadassa Aragão,66.0,F,123.456.789-00,Mestrado,1970-09-01,não
Sr. Felipe da Luz,65.0,F,123.456.789-00,Mestrado,1997-09-15,não
Aylla Carvalho,59.0,M,875.492.316-64,Ensino Fundamental,32/13/2000,não
Maria Sophia Martins,40.0,F,089.637.125-59,Mestrado,32/13/2000,não
João Pedro da Mota,90.0,Outro,793.125.086-95,Doutorado,1952-07-31,não
Sabrina da Luz,37.0,M,123.456.789-00,Ensino Médio,1943-07-05,não
Luana Sousa,23.0,Outro,123.456.789-00,Ensino Médio,32/13/2000,não
