"nome","idade","sexo","cpf","escolaridade","data_nasc"
"Brenda Alves",32,"Outro","123.456.789-00","Ensino Médio","32/13/2000"
"Caleb Cunha","","","380.416.975-93","Doutorado",""
"Emanuel Sampaio",22,"M","123.456.789-00","Ensino Médio","1946-07-21"
"Dr. João Aparecida",89,"","","Ensino Médio",""
"Srta. Ana Clara Ribeiro",53,"F","","Graduação",""
"Léo Fogaça",37,"Outro","341.857.609-57","Ensino Fundamental",""
"Henry Rodrigues","","Outro","","","1962-02-08"
"Luara Cunha","","M","","Ensino Fundamental",""
"Maria Liz Fonseca","","F","327.065.184-80","Ensino Fundamental","32/13/2000"
"Ana Luiza Gomes",55,"F","674.805.231-90","Mestrado",""
"Pedro Henrique Castro","","Outro","123.456.789-00","Graduação",""
"Fernanda Cassiano","","Outro","520.483.761-26","Doutorado","32/13/2000"
"Benjamin da Costa","","F","123.456.789-00","Mestrado",""
"Vinícius Pereira","","","123.456.789-00","",""
"Henry Gabriel Azevedo",25,"M","","Mestrado",""
"Arthur Gabriel Farias",26,"","","Ensino Médio",""
"Renan Jesus","","","123.456.789-00","Graduação","32/13/2000"
"Beatriz Araújo","","","","",""
"Ravi da Cruz","","F","123.456.789-00","Doutorado",""
"Raquel Mendes",29,"M","123.456.789-00","","32/13/2000"
"Raquel Cassiano","","M","","Mestrado",""
"Rhavi Montenegro","","","820.471.593-50","","1965-05-27"
"Bárbara Nunes","","Outro","301.954.278-23","Graduação",""
"João Gonçalves","","M","","Doutorado","32/13/2000"
"Hadassa Montenegro",82,"Outro","123.456.789-00","Ensino Médio",""
"Vitória Albuquerque","","","841.720.953-05","Doutorado",""
"Gustavo Henrique Silva",80,"M","","",""
"Alexandre Farias",48,"F","249.538.670-92","Ensino Fundamental",""
"Dom Nogueira","","F","123.456.789-00","",""
"Josué Rios",88,"Outro","","Ensino Médio","32/13/2000"
"Felipe Sousa","","Outro","","Doutorado",""
"Raul Ferreira",33,"F","438.051.792-60","Graduação","1942-11-02"
"Luiz Fernando Ramos",88,"","123.456.789-00","Ensino Fundamental","1938-08-06"
"Pedro Henrique Ferreira",25,"M","561.347.209-25","",""
"Zoe Rodrigues","","F","","",""
"Luana Rios","","F","","Ensino Médio",""
"Emanuella Pimenta",70,"M","946.802.751-11","",""
"Melina Macedo","","","","","1946-02-06"
"Leonardo Câmara",30,"","","","1959-11-08"
"Dra. Maria Isis Monteiro",49,"F","","Ensino Médio",""
"Dra. Nicole Aragão","","","123.456.789-00","","1994-01-29"
"Renan Machado","","M","439.678.152-00","","1943-12-08"
"Sra. Isabela da Mata",29,"F","","Mestrado",""
"Oliver Jesus","","M","123.456.789-00","Mestrado","1985-02-27"
"Alana Fogaça","","","","Mestrado",""
"Raquel Alves",37,"Outro","123.456.789-00","Ensino Fundamental","1987-01-06"
"Amanda Barros",58,"M","","Doutorado","32/13/2000"
"Dr. Mateus da Mota","","M","123.456.789-00","Ensino Fundamental","1942-09-24"
"Ana Cecília Sá","","M","123.456.789-00","Doutorado","1997-11-03"
"Bruna Nunes","","","","Graduação","32/13/2000"
"Amanda das Neves",58,"Outro","","Ensino Médio",""
"Ana Cecília Ferreira","","M","865.042.917-30","Mestrado","1947-10-03"
"Maria Cecília Porto","","F","","Ensino Médio",""
"Juliana Duarte",26,"Outro","","Ensino Médio",""
"Sr. Ryan Cunha","","Outro","549.286.073-92","",""
"Nicolas Mendonça",31,"Outro","837.569.402-92","Ensino Fundamental","32/13/2000"
"Nathan Sales","","","123.456.789-00","",""
"Sra. Júlia das Neves","","Outro","","Graduação","1959-06-17"
"Rodrigo da Mota","","","","Ensino Fundamental","1974-07-12"
"Vitor Cardoso",60,"Outro","123.456.789-00","",""
"Pietra Macedo","","","520.837.416-17","Ensino Fundamental","1943-06-22"
"Ana Júlia Cassiano","","M","","Doutorado","32/13/2000"
